"Epic","Story","Task","Priority","Due Date"
"要件定義・企画","プロジェクト目的／KPI整理","docs/10-requirements.md のKPI定義","High","2025-09-15"
"要件定義・企画","ユースケース整理","MyTokyoGas PoC 要件まとめ","High","2025-09-15"
"要件定義・企画","成功指標レビュー","KPIレビューと承認","Medium","2025-09-20"
"アーキテクチャ設計","システム構成設計","docs/20-architecture.md の初版作成","High","2025-09-22"
"アーキテクチャ設計","DSL仕様策定","docs/30-dsl-spec.md の初版作成","High","2025-09-22"
"アーキテクチャ設計","アクション定義拡張","log / sleep_random / screenshot / assert_title の仕様追加","High","2025-09-25"
"アーキテクチャ設計","セキュリティ要件設計","docs/40-security-secrets.md の初版作成","High","2025-09-25"
"実装","ランナー基盤実装","Playwright CLI の runner 実装","High","2025-09-30"
"実装","DSLパーサー & 実行エンジン","flows/*.json 実行対応","High","2025-09-30"
"実装","サイトプロファイル整備","site_profiles/ に MyTokyoGas.md 作成","Medium","2025-09-30"
"実装","新アクション追加","log / sleep_random / screenshot / assert_title 実装","High","2025-10-05"
"実装","secrets 管理機構","secrets.json 読み込み対応","High","2025-10-05"
"テスト・CI/CD","PoCフロー実装","flows/mytokyogas_poc.json の作成 & 実行確認","High","2025-10-10"
"テスト・CI/CD","自動テストスイート","pytest ベースの自動テスト導入","Medium","2025-10-15"
"テスト・CI/CD","CIでの判定","assert_title を利用した pass/fail 判定","High","2025-10-15"
"テスト・CI/CD","カバレッジ改善","coverage レポート作成 & 改善","Medium","2025-10-20"
"運用・監視","実行ログ設計","docs/50-operations.md にログ仕様まとめ","Medium","2025-10-22"
"運用・監視","月次レポート取得フロー","実際のWebレポート取得 PoC","High","2025-10-25"
"運用・監視","エラー通知設定","Slack/Email 通知PoC","Medium","2025-10-25"
"運用・監視","KPI監視","成功率 ≥99% をモニタリング","High","2025-10-31"
"ロードマップ・改善","PoC追加","追加サイトPoC検討","Medium","2025-11-05"
"ロードマップ・改善","SaaS化検討","docs/60-roadmap.md にSaaS化検討追加","Medium","2025-11-10"
"ロードマップ・改善","コスト最適化","インフラコスト ¥3000/月 以下の実現","Medium","2025-11-15"
"ロードマップ・改善","継続レビュー","定例レビューサイクル確立","Low","2025-11-20"
"チーム運営・ガバナンス","開発フロー整備","docs/80-team-playbook.md の初版作成","High","2025-09-18"
"チーム運営・ガバナンス","コード規約整備","commitlint / pre-commit hook 導入","High","2025-09-22"
"チーム運営・ガバナンス","レビュー体制確立","CODEOWNERS 設定","Medium","2025-09-25"
"チーム運営・ガバナンス","コンプライアンス遵守","docs/90-compliance.md の初版作成","Medium","2025-09-30"
